image,markerID,markerType,marker_X,marker_Y,marker_Z
Image1,Marker1,Landmark,476.65059445806605,426.03265030489933,332.8477758171588
Image1,Marker2,Landmark,548.1422508671628,456.00244551551623,272.9911443299602
Image1,Marker3,Landmark,636.5117123581899,509.3562240730083,256.668903541119
Image2,Marker4,Landmark,423.47624419720023,395.0608015156191,345.00001662502564
Image2,Marker5,Landmark,509.4266389503204,435.98652770660027,277.21378780483786
Image2,Marker6,Landmark,597.0070623870109,495.75546076491344,260.95535051436997
Image3,Marker7,Landmark,455.07865352100026,476.01989785185646,329.0021535226965
Image3,Marker8,Landmark,532.2849327836922,503.95798545038423,280.8981671630161
Image3,Marker9,Landmark,620.0029437235836,555.8123486723483,261.5034614101071
Image4,Marker10,Landmark,413.6168563812933,503.7075638116702,280.7150958046828
Image4,Marker11,Landmark,493.1610282129325,534.0024026497231,237.1992373376714
Image4,Marker12,Landmark,583.0065181359724,592.0148343887851,217.00020642495411
Image5,Marker13,Landmark,456.091373933274,463.9995945025528,300.96890905191094
Image5,Marker14,Landmark,528.7225419096288,487.9926904583034,248.86545995017005
Image5,Marker15,Landmark,620.0175374617004,538.8648222359792,237.20312654277933
